t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,0.2120,0.4,3.6433,1460.7,-0.8708,7.4213,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,-0.4,3.4,0.01
0.020,0.3265,0.4,5.6107,2247.6,-0.8708,7.4213,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,-0.4,3.3,20.08
0.040,0.3883,0.4,6.6730,2672.5,-0.8708,7.4213,-9,207,0.00,2.86,0.170,1.540,0.00,0.00,0.0,0.0,-0.4,3.3,20.09
0.060,0.4165,0.4,7.2362,2896.2,-0.8708,7.4213,0,1787,0.00,17.14,0.190,1.500,0.00,-0.20,0.0,-1.6,-0.4,3.3,20.09
0.080,0.4317,0.4,7.5403,3016.7,-0.8708,7.4213,0,2357,0.00,31.43,0.080,1.620,0.00,-0.34,0.0,-2.7,-0.4,3.3,20.06
0.100,0.4226,5.5,7.6660,3059.0,-0.8776,7.4196,0,2686,0.00,45.71,0.240,1.020,-0.50,-1.31,-4.0,-10.5,-1.4,3.1,20.08
0.120,0.4177,8.3,7.7339,3080.7,-0.8776,7.4196,0,2836,0.00,62.86,0.060,0.650,-0.86,-1.99,-6.8,-16.0,-1.4,3.1,20.09
0.140,0.4150,10.2,7.7705,3091.5,-0.8776,7.4196,0,2960,0.00,77.14,0.200,0.490,-1.10,-2.47,-8.8,-19.8,-1.4,3.1,20.09
0.160,0.3700,14.3,7.6863,3048.2,-0.8793,7.4265,0,2984,0.00,91.43,0.190,0.420,-1.58,-3.74,-12.6,-29.9,-1.7,3.6,20.07
0.180,0.3458,16.9,7.6409,3022.9,-0.8793,7.4265,2,3037,0.00,114.29,0.180,0.870,-1.91,-4.63,-15.3,-37.1,-1.6,3.6,20.07
0.200,0.2607,22.3,7.4394,2930.0,-0.8793,7.4265,4,2965,0.00,128.57,0.160,1.140,-2.58,-6.17,-20.6,-49.3,-1.6,3.6,20.09
0.220,0.2148,26.0,7.3307,2877.9,-0.8793,7.4265,3,3038,0.00,151.43,0.150,1.780,-3.05,-7.24,-24.4,-57.9,-1.6,3.6,20.08
0.240,0.1900,28.6,7.2719,2848.4,-0.8793,7.4265,7,2950,0.00,162.86,0.090,0.910,-3.38,-7.99,-27.0,-63.9,-1.6,3.5,20.09
0.260,0.0761,34.7,6.9910,2723.7,-0.8810,7.4333,14,2902,0.00,177.14,0.110,0.410,-4.11,-9.59,-32.9,-76.7,-1.9,4.0,20.09
0.280,0.0146,38.8,6.8393,2654.1,-0.8810,7.4333,22,2881,0.00,200.00,0.110,0.540,-4.62,-10.70,-37.0,-85.6,-1.9,4.0,20.07
0.300,-0.1613,46.0,6.4206,2469.6,-0.8810,7.4333,33,2721,0.00,214.29,0.150,0.330,-5.52,-12.83,-44.1,-102.6,-1.9,4.0,20.10
0.320,-0.2564,51.0,6.1945,2367.2,-0.8810,7.4333,42,2693,0.00,231.43,0.180,0.670,-6.15,-14.32,-49.2,-114.6,-1.8,4.0,20.08
0.340,-0.3077,54.5,6.0724,2310.0,-0.8810,7.4333,46,2475,0.00,242.86,0.230,0.690,-6.58,-15.36,-52.7,-122.9,-1.8,3.9,20.09
0.360,-0.5199,476.9,5.5563,2082.7,-0.8810,7.4333,43,2362,2.86,254.29,0.200,1.290,-7.40,-17.97,-59.2,-143.8,-1.8,3.9,20.09
0.380,-0.6345,573.2,5.2776,1956.6,-0.8810,7.4333,38,2364,2.86,271.43,0.190,1.240,-7.96,-19.80,-63.7,-158.4,-1.8,3.9,20.09
0.400,-0.9230,810.3,4.5439,1643.9,-0.8828,7.4401,428,2136,2.86,282.86,0.100,0.540,-8.73,-22.25,-69.8,-178.0,-2.1,4.4,20.09
0.420,-1.0787,939.2,4.1477,1471.7,-0.8828,7.4401,505,2022,8.57,297.14,0.160,0.350,-9.27,-23.97,-74.1,-191.8,-2.1,4.4,20.07
0.440,-1.1629,1009.5,3.9338,1376.5,-0.8828,7.4401,738,1675,11.43,305.71,0.680,0.490,-9.64,-25.17,-77.1,-201.4,-2.0,4.4,20.09
0.460,-1.4517,1240.5,3.1744,1064.7,-0.8828,7.4401,771,1522,14.29,311.43,1.240,0.000,-9.64,-26.18,-77.1,-209.4,-2.0,4.3,20.09
0.480,-1.6077,1365.3,2.7644,895.0,-0.8828,7.4401,878,1430,20.00,322.86,0.960,0.570,-9.63,-26.89,-77.1,-215.1,-2.0,4.3,20.07
0.500,-1.8737,1564.4,1.8759,533.0,-0.8908,7.4452,1077,1090,25.71,328.57,1.470,0.160,-7.78,-27.75,-62.3,-222.0,-3.2,4.7,20.09
0.520,-2.0173,1668.9,1.3962,336.3,-0.8908,7.4452,1240,970,34.29,334.29,1.820,0.500,-6.49,-28.36,-51.9,-226.8,-3.2,4.6,20.08
0.540,-2.0948,1723.7,1.1371,229.2,-0.8908,7.4452,1421,578,42.86,337.14,1.660,0.470,-5.58,-28.78,-44.7,-230.2,-3.2,4.6,20.09
0.560,-2.1704,1762.9,0.3156,-228.6,-0.8960,7.4367,1534,417,48.57,340.00,2.190,0.270,-2.83,-29.08,-22.7,-232.6,-3.9,4.0,20.09
0.580,-2.2112,1780.2,-0.1280,-230.3,-0.8960,7.4367,1650,308,60.00,342.86,1.900,0.110,-0.91,-29.28,-7.3,-234.3,-3.9,3.9,20.08
0.600,-2.0998,1663.2,-1.0545,-652.6,-0.8879,7.4316,1720,-75,71.43,342.86,2.020,0.450,2.42,-29.29,19.3,-234.4,-2.7,3.5,20.10
0.620,-2.0396,1596.4,-1.5548,-852.8,-0.8879,7.4316,1760,-79,82.86,340.00,1.840,0.510,4.75,-29.30,38.0,-234.4,-2.7,3.5,20.08
0.640,-2.0071,1557.3,-1.8249,-960.9,-0.8879,7.4316,1699,-539,91.43,340.00,1.310,0.910,6.38,-29.31,51.0,-234.5,-2.7,3.5,20.09
0.660,-1.7180,1303.8,-2.6314,-1276.0,-0.8435,7.4281,1653,-702,97.14,334.29,1.440,0.280,8.33,-28.34,66.6,-226.7,4.0,3.2,20.07
0.680,-1.5619,1168.0,-3.0669,-1444.8,-0.8435,7.4281,1647,-830,111.43,328.57,0.890,0.080,9.69,-27.66,77.5,-221.3,4.0,3.2,20.08
0.700,-1.1800,849.3,-3.8578,-1739.5,-0.7786,7.4297,1402,-1209,117.14,322.86,0.740,0.800,10.14,-24.97,81.1,-199.7,13.6,3.3,20.09
0.720,-0.9738,681.9,-4.2849,-1895.3,-0.7786,7.4297,1259,-1305,125.71,314.29,0.060,0.360,10.45,-23.08,83.6,-184.7,13.6,3.3,20.08
